brand,suggestedCategory,businessType,aliases,officialSource,checkedAt
스타벅스,커피,커피전문점,스타벅스 | starbucks,https://www.starbucks.co.kr/coffee/productFinder.do,2026-09-17
메가MGC커피,커피,커피전문점,메가MGC커피 | 메가커피 | mega mgc coffee,https://www.mega-mgccoffee.com/,2026-09-17
이디야,커피,커피전문점,이디야커피 | 이디야 | ediya,https://www.ediya.com/,2026-09-17
투썸플레이스,커피,디저트 카페,투썸플레이스 | a twosome place | twosome place,https://dd-mo.twosome.co.kr/main.do?storeChk=Y,2026-09-17
할리스,커피,커피전문점,할리스커피 | 할리스 | hollys,https://www.hollys.co.kr/,2026-09-17
빽다방,커피,커피전문점,빽다방 | paik's coffee,https://paikdabang.com/,2026-09-17
커피빈,커피,커피전문점,커피빈 | coffee bean | the coffee bean,https://www.coffeebeankorea.com/main/main.asp,2026-09-17
맥도날드,식비,음식점,맥도날드 | mcdonald's | mcdonalds,https://www.mcdonalds.co.kr/kor/,2026-09-17
롯데리아,식비,음식점,롯데리아 | lotteria,https://www.lotteeatz.com/brand/ria,2026-09-17
파리바게뜨,식비,베이커리,파리바게뜨 | 파리바게트 | paris baguette,https://www.paris.co.kr/,2026-09-17
뚜레쥬르,식비,베이커리,뚜레쥬르 | tous les jours,https://www.tlj.co.kr/index.asp,2026-09-17
배스킨라빈스,식비,아이스크림,배스킨라빈스 | 베스킨라빈스 | baskin robbins,https://www.baskinrobbins.co.kr/,2026-09-17
써브웨이,식비,음식점,써브웨이 | 서브웨이 | subway,https://www.subway.co.kr/,2026-09-17
홍콩반점,식비,음식점,홍콩반점0410 | 홍콩반점,https://www.theborn.co.kr/theborn-korea/footprints/,2026-09-17
역전우동,식비,음식점,역전우동0410 | 역전우동,https://www.theborn.co.kr/theborn-korea/footprints/,2026-09-17
CU,쇼핑,편의점,CU | 씨유,https://cu.bgfretail.com/,2026-09-17
GS25,쇼핑,편의점,GS25 | 지에스25 | 지에스이십오,https://hpsimg.gsretail.com/gsretail/ko/intro/ceo-message,2026-09-17
GS THE FRESH,쇼핑,슈퍼마켓,GS THE FRESH | GS더프레시 | 지에스더프레시,https://hpsimg.gsretail.com/gsretail/ko/intro/ceo-message,2026-09-17
이마트24,쇼핑,편의점,이마트24 | emart24,https://emart24.co.kr/,2026-09-17
세븐일레븐,쇼핑,편의점,세븐일레븐 | 7-eleven,https://www.7-eleven.co.kr/,2026-09-17
유니클로,쇼핑,의류,유니클로 | uniqlo,https://www.uniqlo.com/kr/ko/,2026-09-17
다이소,기타,생활용품; 기존 Orbit 기본 분류 유지,다이소 | 아성다이소 | daiso,https://www.daiso.co.kr/,2026-09-17
코레일,교통,철도,코레일 | 한국철도공사 | korail,https://www.korail.com/,2026-09-17
SRT,교통,철도,SRT | 에스알티,https://www.srail.or.kr/main.do,2026-09-17
